Hugo_Symbol	CPTAC_MSI	CPTAC_MSS	pval	or	ci.up	ci.low	adjPval	Freq_Ratio_MSI_CPTAC	Freq_Ratio_MSS_CPTAC
CCDC43	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
CEL	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
CIC	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
CIITA	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
CLOCK	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
DDX27	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
DOCK8	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
EIF2B3	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
EP300	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ETV6	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
FAT1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
FHOD3	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
FRYL	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
